zh-CN,en-US
从DNBSEQ-T7+RS插件试剂盒1（型号：T7+ STO FCL PE75)中取出以下试剂并置于室温解冻。,"Remove the following reagents from the DNBSEQ-T7+RS Insert Kit 1 (Model: T7+ STO FCL PE75), and thaw them at room temperature."
从DNBSEQ-T7+RS插件试剂盒1（型号：T7+ STO FCL PE75)中取出以下试剂并置于室温解冻。,"Remove the following reagents from the DNBSEQ-T7+RS Insert Kit 1 (T7+ STO FCL PE75), and thaw them at room temperature."
制备插件不可倾斜，如有试剂粘附在管壁或者管盖上，滑开插件顶端，取出单独的 试剂管，盖上管盖，竖直放置试剂管进行短暂离心，将试剂收集至管底,"Do not tilt the Make Insert. If any reagent is adhering to a tube wall or tube cap and you should centrifuge the Insert briefly, slide to open the Insert cover for taking out the tube, recap the tube with the cap, and keep the tube upright and centrifuge it to collect the solution to the bottom of the tube."
勿将DNB聚合酶混合液Ⅱ（OS-V4.0)置于室温，勿长时间触碰管壁。,Keep Make DNB Enzyme Mix II (OS-V4.0) on ice and hold the tube on the top during use. Do not let it warm up in your hand or on the bench at room temperature.
根据不同时空文库样本的投入量要求，对其文库投入体积进行计算。,Calculate the library input volume based on the input requirements for the specific spatial library.
DNB聚合酶混合液Ⅱ（OS-V4.0),Make DNB Enzyme Mix II (OS-V4.0)
所需dsDNA文库体积V,Required dsDNA volume V
CITE V1.1-cDNA dsDNA,CITE V1.1-cDNA dsDNA library
CITE V1.1-ADT dsDNA,CITE V1.1-ADT dsDNA library
45 μL体系,45 μL system
90 μL体系,90 μL system
按照如下体积配制清洗试剂2，用于维护清洗。,Prepare the washing reagent 2 according to the table below for the maintenance wash:
勿将DNB聚合酶混合液Ⅱ（OS-V4.0）置于室温，勿长时间触碰管壁。,Keep Make DNB Enzyme Mix II (OS-V4.0) on ice and hole the tube on the top during use. Do not let it warm up in your hand or on the bench at room temperature.
程序反应结束后立即将样本置于冰上，放置2 min,"After the reaction concludes, place the tube on ice immediately and keep it on ince for 2 min."
时空DNB制备反应混合液2,STO Make DNB reaction mixture 2
DNB聚合酶混合液Ⅱ（OS-V4.0）,Make DNB Enzyme Mix II (OS-V4.0)
DNB制备反应混合液2,STO Make DNB reaction mixture 2
当PCR仪温度达到4℃后立即取出PCR管置于冰上，加入5 μL DNB终止缓冲液（45 μL体系） 或10 μL DNB终止缓冲液（90 μL体系），用无滤芯的阔口吸头缓慢吹打混匀8次。,"Immediately take out the PCR tube from the thermal cycler when the temperature reaches 4 ℃, place the tube on ice, and add 5 μL of Stop DNB Reaction Buffer (for the 45 μL system) or 10 μL of Stop DNB Reaction Buffer (for the 90 μL system) to the tube. Gently mix the product (namely the DNBs) by pipetting 8 times by using a wide-bore, non-filtered pipette tip."
DNB制备完成后，取用2 μL DNB，使用Qubit ssDNA Assay Kit 和Qubit 荧光定量仪进行浓度检测，具体操作，参考。,"When the make DNB process is completed, take out 2 μL of DNBs, and use Qubit ssDNA Assay Kit and Qubit Fluorometer to quantify the DNBs. For details, refer to."
对于这种类型的PCR仪，需提前进行热盖预热，确保在进行DNB反应时热盖处于工作温度。,"For these types of thermal cyclers, preheating of the heated lid is required to ensure that the heated lid is at operating temperature during the DNB reactions."
热盖温度建议设置为35 ℃，或尽可能设置成接近35 ℃的最低温度。,It is recommended that you set the temperature of the heated lid to 35 ℃ or as close as possible to 35 ℃.
若DNB浓度低于标准值，参考。,"If the DNB concentration is less than 25 ng/μL, refer to to fix the problem."
完成后立即测定DNB浓度，并尽快上机测序。,"After completion, immediately quantify the DNBs and use the DNBs for sequencing as soon as possible."
制备完成的DNB需置于2 ℃~8 ℃。,Store the prepared DNBs at 2 ℃ to 8 ℃.
所有试剂解冻后，用涡旋振荡仪振荡混匀5 s，短暂离心后置于冰上备用。,"After thawing, mix each reagent thoroughly by using the vortex mixer and centrifuge it briefly for 5 s. Then, place it on ice until use."
制备体系为90 μL时，样本A的DNB制备体系个数为：（VDNB/90），取整数+1。,"For the 90 μL system, the number of DNB reaction mixtures for sample A is equal to (VDNB/90+1) rounded down to the nearest whole number."
一个插件试剂盒1的DNB制备试剂支持制备10管90 μL体系的DNB，或20管45 μL体系的DNB。,The Make DNB reagents in one Insert Kit 1 can be used to make 10 tubes of DNB reaction mixtures for the 90 μL system or 20 tubes of DNB reaction mixtures for the 45 μL system.
有关推荐品牌的阔口吸头的详情，参考。,"For details about recommended wide-bore non-filtered pipette tips, refer to."
根据样本的种类，每个样本的测序所需的数据量决定DNB制备体系的体积量。,"Based on the sample type, the volume of the DNB reaction mixtures is determined by the data output required for sequencing each sample."
务必使用无滤芯阔口吸头混匀DNB，并使用推荐的品牌货号。,Only wide-bore non-filtered pipette tips of recommended brands can be used to mix DNBs.
制备完成的DNB需置于2 ℃~8 ℃，并于8 h内使用。,Store the prepared DNBs at 2 ℃ to 8 ℃ and perform sequencing within 8 h.
从DNBSEQ-T7+RS插件试剂盒1（型号：T7+ STO FCL PE75)中取出以下试剂并置于室温解冻：,"Remove the following reagents from the DNBSEQ-T7+RS Insert Kit 1 (Model: T7+ STO FCL PE75), and thaw them at room temperature:"
FFPE V1.0 dsDNA,FFPE V1.0 dsDNA libraries
根据所测得的时空初始dsDNA文库浓度及所需的文库fmol量，计算每个DNB制备体系所需投入的dsDNA文库体积。,Calculate the volume of spatial dsDNA libraries required for each DNB reaction mixture based on the required fmol concentration of the dsDNA libraries measured on.
制备体系为45 μL时，样本A的DNB制备体系个数为：（VDNB/45），取整数+1。,"For the 45 μL system, the number of DNB reaction mixtures for sample A is equal to (VDNB/45+1) rounded down to the nearest whole number."
c表示文库浓度（fmol/μL）或者（ng/μL）,c represents the library concentration in the unit of fmol/μL or ng/μL.
c表示文库浓度（fmol/μL）或者（ng/μL）。,crepresents the library concentration in the unit of fmol/μL or ng/μL.
计算出的文库体积V填入。,The calculated library volumeVin the above table will be used in.
下表为1个DNB制备体系所需的dsDNA文库体积：,The following table shows the volume of the dsDNA libraries required for one DNB reaction mixture:
文库体积V（μL）,Required dsDNA volume V (μL)
dsDNA文库所需量,Required amount of dsDNA libraries
CITE V1.1-cDNA dsDNA,CITE V1.1-cDNA dsDNA libraries
FF V1.3 dsDNA,FF V1.3 dsDNA libraries
FFPE V1.1 dsDNA,FFPE V1.1 dsDNA libraries
V=(200 fmol~325 fmol）/c,200 fmol/c to 325 fmol/c
V=(400 fmol~650 fmol）/c,400 fmol/c to 650 fmol/c
V=120 ng/c,120 ng/c
V=60 ng/c,60 ng/c
如果混合样本中存在CITE V1.1-cDNA与CITE V1.1-ADT文库pooling情况，为了保证测序碱基平衡，建议将CITE V1.1-cDNA与CITE V1.1-ADT文库质量比不低于1:1进行DNB pooling，即CITE V1.1-cDNA文库投入质量高于CITE V1.1-ADT文库。,"If the pooled sample contains a mixture of CITE V1.1-cDNA and CITE V1.1-ADT libraries, to ensure base balance during sequencing, it is recommended that the mass ratio of CITE V1.1-cDNA and CITE V1.1-ADT libraries should be greater than or equal to 1:1 for DNB pooling. In other words, the mass of CITE V1.1-cDNA libraries should be greater than that of the CITE V1.1-ADT libraries."
根据以下公式，计算每个样本理论相对量Vn：,Calculate the theoretical relative amountVnfor each sample according to the formula below:
每张载片所需样本所需数据量DNB总体积为348 μL，每个样本的pooling体积为：,"Each flow cell requires a total of 348 μL DNBs for the required data output, and the DNB volume required for each sample in pooling is calculated according to the formula below:"
根据以下公式，计算总相对量V2：,Calculate the total relative amountV2for all samples according to the formula below:
根据以下公式，计算每个样本pooling：,Calculate the volume of DNBs required for each sample in pooling.
CITE V1.1-ADT dsDNA,CITE V1.1-ADT dsDNA libraries
维护清洗,Wash
计算dsDNA文库所需量,Calculating the required amount of dsDNA libraries
室温或水浴解冻,Thawing at room temperature or in a water bath
填写参数（非时空）,Setting the parameters (for high-throughput sequencing)
填写参数,Setting parameters
dsDNA投入量计算,Calculating the input volume of dsDNA libraries
表中数值仅为标准模式下理论测序时长，不同仪器的实际运行时间可能会有所不同。,The time listed in the table represents the theoretical sequencing duration in the standard mode. The actual running time may vary slightly among individual sequencers.
若DNB浓度低于标准值，参考。,"If the DNB concentration is less than 10 ng/μL, refer toto fix the problem."
